Commodity,Market,Variety,Grade,Arrivals,Units,Min (Rs.),Max (Rs.),Modal (Rs.)
"Maize","HUNGUND","Local","Medium","511","Quintal","1900","2000","1900"
"Paddy","DODDABALLAPUR","Paddy 1001","Medium","161","Quintal","2850","2850","2850"
"Rice","DODDABALLAPUR","Other","Average","198","Quintal","3450","3980","3450"
"Coconut (Per 1000)","DODDABALLAPUR","Coconut","Medium","37840","Numbers","14000","25000","18500"
"Bengalgram","HUNGUND","Jawari/Local","Medium","798","Quintal","5200","5200","5200"
"Black Gramdal","DODDABALLAPUR","Black Gram Dal","Medium","21","Quintal","11600","11600","11600"
"Tur Dal","DODDABALLAPUR","Tur Dal","Medium","100","Quintal","15281","15281","15281"
"Banana Green","DODDABALLAPUR","Banana - Green (Balekai)","Medium","3","Quintal","4000","5000","4500"
"Beans","DODDABALLAPUR","Beans (Whole)","Medium","2","Quintal","6000","9000","7500"
"Beetroot","DODDABALLAPUR","Beetroot","Medium","2","Quintal","2500","3100","2850"
"Bitter Gourd","DODDABALLAPUR","Bitter Gourd","Medium","2","Quintal","2500","3500","3000"
"Brinjal","DODDABALLAPUR","Brinjal","Medium","3","Quintal","2000","2600","2300"
"Capsicum","DODDABALLAPUR","Capsicum","Medium","2","Quintal","2500","3400","3000"
"Carrot","DODDABALLAPUR","Others","Medium","3","Quintal","2500","3200","2850"
"Cauliflower","DODDABALLAPUR","Cauliflower","Medium","2","Quintal","1000","1500","1200"
"Cucumbar","DODDABALLAPUR","Cucumbar","Medium","12","Quintal","2000","2400","2200"
"Green Chilly","DODDABALLAPUR","Green Chilly","Medium","3","Quintal","3500","4500","4000"
"Green Ginger","DODDABALLAPUR","Green Ginger","Medium","2","Quintal","10000","14000","12000"
"Knool Khol","DODDABALLAPUR","Knool Khol","Medium","4","Quintal","2000","3000","2600"
"Ladies Finger","DODDABALLAPUR","Ladies Finger","Medium","3","Quintal","2200","3000","2700"
"Onion","DODDABALLAPUR","Onion","Medium","20","Quintal","1800","2200","2000"
"Potato","DODDABALLAPUR","Local","Medium","15","Quintal","2000","2400","2200"
"Tomato","DODDABALLAPUR","Tomato","Medium","14","Quintal","3500","4500","4000"